,log_mse_iteration=2,running_time_iteration=2,steps_iteration=2,efficiency_iteration=2,log_mse_iteration=5,running_time_iteration=5,steps_iteration=5,efficiency_iteration=5,log_mse_iteration=8,running_time_iteration=8,steps_iteration=8,efficiency_iteration=8
brentq,0.0009964040938864097,9.920838,9.56237383932176,0.29433757025076984,0.0009964040938864097,9.844139,9.56237383932176,0.29433757025076984,0.0009964040938864097,10.299021,9.56237383932176,0.29433757025076984
brenth,0.0009964040938873144,9.856188000000001,9.786435203875657,0.2917396831322078,0.0009964040938873144,10.334097,9.786435203875657,0.2917396831322078,0.0009964040938873144,10.276612,9.786435203875657,0.2917396831322078
ridder,0.000996404093896623,13.539539000000001,7.159467097295115,0.33052990057195686,0.000996404093896623,13.213242000000001,7.159467097295115,0.33052990057195686,0.000996404093896623,13.449981000000001,7.159467097295115,0.33052990057195686
bisection,0.014306778835967706,10.359204,2.7202260799354057,0.5353851242134761,0.014306778835967706,10.811087,2.7202260799354057,0.5353851242134761,0.014306778835967706,11.164833000000002,2.7202260799354057,0.5353851242134761
mullerBisection,0.0010204700150587011,44.329166,6.599919257165927,0.3421161655336146,0.0010204700150587011,44.189469,6.599919257165927,0.3421161655336146,0.0010204700150587011,43.156249,6.599919257165927,0.3421161655336146
newton,0.15369563990832336,5.334393,7.085991118288252,,0.15369563990832336,5.107356,7.085991118288252,,0.15369563990832336,5.473967,7.085991118288252,
halley,0.0011770464935282716,4.294872000000001,17.1324182478805,0.23949145208179579,0.0011770464935282716,4.342517,17.1324182478805,0.23949145208179579,0.0011770464935282716,4.542603000000001,17.1324182478805,0.23949145208179579
new_newton,,6.987986,7.882115462252725,,,6.296019,13.512716996366573,,,6.761548,16.733144933387162,
new_halley,0.001128326503393034,6.163671000000001,17.939039160274525,0.23593292043021338,0.0006993577792076486,7.467320000000001,17.939039160274525,0.2358312230409942,0.0007029800645078913,7.882423,17.535728704077513,0.23757073084635957
halleyMomentum,0.0015668933569278644,6.6998500000000005,1.8066209123940251,0.6727260292307563,0.001431385275269493,7.577139000000001,3.419862737182075,0.4670879705300702,0.0014762560602655992,7.940713000000001,4.2264836495761005,0.4197609470028347
