,log_accuracy_sigma=0.31,log_accuracy_sigma=1.05,log_accuracy_sigma=1.07,log_accuracy_sigma=1.10,MSE_sigma=0.31,MSE_sigma=1.05,MSE_sigma=1.07,MSE_sigma=1.10,log_mse_sigma=0.31,log_mse_sigma=1.05,log_mse_sigma=1.07,log_mse_sigma=1.10,running_time_sigma=0.31,running_time_sigma=1.05,running_time_sigma=1.07,running_time_sigma=1.10,steps_sigma=0.31,steps_sigma=1.05,steps_sigma=1.07,steps_sigma=1.10,efficiency_sigma=0.31,efficiency_sigma=1.05,efficiency_sigma=1.07,efficiency_sigma=1.10
brentq,5.627682896518332,5.627682896518332,5.627682896518332,5.627682896518332,3.238553270044893e-05,3.238553270044893e-05,3.238553270044893e-05,3.238553270044893e-05,3.238458624130374e-05,3.238458624130374e-05,3.238458624130374e-05,3.238458624130374e-05,10.53063,10.585263000000001,10.166865000000001,10.120019000000001,8.826332794830371,8.826332794830371,8.826332794830371,8.826332794830371,0.303347775922,0.303347775922,0.303347775922,0.303347775922
brenth,5.627682896498987,5.627682896498987,5.627682896498987,5.627682896498987,3.238553270046163e-05,3.238553270046163e-05,3.238553270046163e-05,3.238553270046163e-05,3.2384586241315855e-05,3.2384586241315855e-05,3.2384586241315855e-05,3.2384586241315855e-05,10.496326,10.57108,10.274932000000002,10.606229,9.044022617124394,9.044022617124394,9.044022617124394,9.044022617124394,0.300466550213,0.300466550213,0.300466550213,0.300466550213
ridder,5.627682896528074,5.627682896528074,5.627682896528074,5.627682896528074,3.23855327005145e-05,3.23855327005145e-05,3.23855327005145e-05,3.23855327005145e-05,3.238458624136837e-05,3.238458624136837e-05,3.238458624136837e-05,3.238458624136837e-05,13.555371000000001,14.059151000000002,13.575576000000002,14.190604,6.851373182552504,6.851373182552504,6.851373182552504,6.851373182552504,0.336377694945,0.336377694945,0.336377694945,0.336377694945
bisection,5.6276828959492216,5.6276828959492216,5.6276828959492216,5.6276828959492216,3.238553270136215e-05,3.238553270136215e-05,3.238553270136215e-05,3.238553270136215e-05,3.23845862422162e-05,3.23845862422162e-05,3.23845862422162e-05,3.23845862422162e-05,149.26454700000002,149.694466,160.04135200000002,157.45558,35.29159935379644,35.29159935379644,35.29159935379644,35.29159935379644,0.192998183132,0.192998183132,0.192998183132,0.192998183132
mullerBisection,5.627682896626697,5.627682896626697,5.627682896626697,5.627682896626697,3.238553269769799e-05,3.238553269769799e-05,3.238553269769799e-05,3.238553269769799e-05,3.2384586238552006e-05,3.2384586238552006e-05,3.2384586238552006e-05,3.2384586238552006e-05,44.555883,47.107948,46.745092,47.075050000000005,7.069466882067851,7.069466882067851,7.069466882067851,7.069466882067851,0.331963893253,0.331963893253,0.331963893253,0.331963893253
newton,5.627682895738878,5.616011486004966,5.615220870893101,5.606836256795699,3.238553269996814e-05,0.0014927512317707795,0.0019007022973190262,0.007212687720001956,3.238458624082335e-05,0.0010813243048296592,0.0013595571207254435,0.00352229949748967,5.446382000000001,6.0319400000000005,6.137794,6.437165,1.0,9.082794830371567,9.083198707592892,13.123990306946688,1.00003238606,0.300403968525,0.300521334494,0.263669834412
new_newton,5.627682896364778,5.627682896364778,5.627682896364778,5.627682896364778,3.238553270103932e-05,3.238553270103932e-05,3.238553270103932e-05,3.238553270103932e-05,3.2384586241891546e-05,3.2384586241891546e-05,3.2384586241891546e-05,3.2384586241891546e-05,6.466544000000001,6.775582,7.516113000000001,6.914337000000001,1.0,1.0,1.0,1.0,1.00003238606,1.00003238606,1.00003238606,1.00003238606
halley,5.627682896480629,5.627682896451531,5.627682896428303,5.627682896417254,3.238553270146039e-05,3.2385532699057204e-05,3.238553270043439e-05,3.2385532700106806e-05,3.238458624231433e-05,3.2384586239910566e-05,3.238458624128983e-05,3.2384586240959294e-05,7.022299,8.746499,8.503863,8.067226,1.0,1.0,1.0,1.0,1.00003238606,1.00003238606,1.00003238606,1.00003238606
new_halley,5.627682896921781,5.627682896921781,5.627682896921781,5.627682896921781,3.238553269989378e-05,3.238553269989378e-05,3.238553269989378e-05,3.238553269989378e-05,3.238458624074655e-05,3.238458624074655e-05,3.238458624074655e-05,3.238458624074655e-05,7.701592000000001,7.709354,8.786592,8.277519,1.0,1.0,1.0,1.0,1.00003238606,1.00003238606,1.00003238606,1.00003238606
halleyMomentum,3.9434685259232425,3.9434685259232425,3.9434685259232425,3.9434685259232425,0.0007312174787937335,0.0007312174787937335,0.0007312174787937335,0.0007312174787937335,0.0007303994411517463,0.0007303994411517463,0.0007303994411517463,0.0007303994411517463,22.474202000000002,22.392108,23.014207000000003,22.892329,1.0,1.0,1.0,1.0,1.00073148488,1.00073148488,1.00073148488,1.00073148488
