,log_accuracy_sigma=1.72,log_accuracy_sigma=0.36,log_accuracy_sigma=1.48,log_accuracy_sigma=1.26,MSE_sigma=1.72,MSE_sigma=0.36,MSE_sigma=1.48,MSE_sigma=1.26,log_mse_sigma=1.72,log_mse_sigma=0.36,log_mse_sigma=1.48,log_mse_sigma=1.26,running_time_sigma=1.72,running_time_sigma=0.36,running_time_sigma=1.48,running_time_sigma=1.26,steps_sigma=1.72,steps_sigma=0.36,steps_sigma=1.48,steps_sigma=1.26,efficiency_sigma=1.72,efficiency_sigma=0.36,efficiency_sigma=1.48,efficiency_sigma=1.26
brentq,5.627358153969221,5.627358153969221,5.627358153969221,5.627358153969221,3.239854649904204e-05,3.239854649904204e-05,3.239854649904204e-05,3.239854649904204e-05,3.239759957911506e-05,3.239759957911506e-05,3.239759957911506e-05,3.239759957911506e-05,10.508697000000002,10.128828,10.480706000000001,10.128773,8.826402906742027,8.826402906742027,8.826402906742027,8.826402906742027,0.303346832674,0.303346832674,0.303346832674,0.303346832674
brenth,5.627358153949783,5.627358153949783,5.627358153949783,5.627358153949783,3.2398546499055066e-05,3.2398546499055066e-05,3.2398546499055066e-05,3.2398546499055066e-05,3.2397599579128515e-05,3.2397599579128515e-05,3.2397599579128515e-05,3.2397599579128515e-05,10.432671000000001,10.701507000000001,11.002435,10.309867,9.047234557932983,9.047234557932983,9.047234557932983,9.047234557932983,0.300424916784,0.300424916784,0.300424916784,0.300424916784
ridder,5.627358153864364,5.627358153864364,5.627358153864364,5.627358153864364,3.2398546499281156e-05,3.2398546499281156e-05,3.2398546499281156e-05,3.2398546499281156e-05,3.239759957935414e-05,3.239759957935414e-05,3.239759957935414e-05,3.239759957935414e-05,14.095299,14.544547000000001,14.023001,13.263076000000002,6.8421477593863544,6.8421477593863544,6.8421477593863544,6.8421477593863544,0.336569724716,0.336569724716,0.336569724716,0.336569724716
bisection,5.62735815396732,5.62735815396732,5.62735815396732,5.62735815396732,3.239854649914812e-05,3.239854649914812e-05,3.239854649914812e-05,3.239854649914812e-05,3.239759957921976e-05,3.239759957921976e-05,3.239759957921976e-05,3.239759957921976e-05,183.36936,178.644576,179.415062,178.382531,41.959224868792894,41.959224868792894,41.959224868792894,41.959224868792894,0.184341301383,0.184341301383,0.184341301383,0.184341301383
mullerBisection,5.627358153938395,5.627358153938395,5.627358153938395,5.627358153938395,3.23985464990583e-05,3.23985464990583e-05,3.23985464990583e-05,3.23985464990583e-05,3.239759957913012e-05,3.239759957913012e-05,3.239759957913012e-05,3.239759957913012e-05,46.690497,50.276253000000004,47.794516,48.166270000000004,7.418651594670973,7.418651594670973,7.418651594670973,7.418651594670973,0.32536306626,0.32536306626,0.32536306626,0.32536306626
newton,5.125307908839211,5.627358153952241,5.4655200382774085,5.585942187937491,0.17657667254138898,3.239854649906155e-05,0.045740178581887954,0.008713287238256555,0.09041238054104511,3.239759957913182e-05,0.02584310677858484,0.0055935818871128765,6.516117,5.961348,6.305783000000001,6.780465,316.04642712959225,1.0,77.76624949535729,25.240613645538957,0.143602175942,1.00003239907,0.166172148664,0.214002807553
new_newton,5.627358153946173,5.627358153946173,5.627358153946173,5.627358153946173,3.239854649904395e-05,3.239854649904395e-05,3.239854649904395e-05,3.239854649904395e-05,3.2397599579115965e-05,3.2397599579115965e-05,3.2397599579115965e-05,3.2397599579115965e-05,6.7166500000000005,7.0475520000000005,7.234698000000001,6.816528000000001,1.0,1.0,1.0,1.0,1.00003239907,1.00003239907,1.00003239907,1.00003239907
halley,5.627358153947941,5.627358153946522,5.627358153955604,5.627358153956302,3.239854649915395e-05,3.2398546499051176e-05,3.2398546499166386e-05,3.2398546499206014e-05,3.239759957922343e-05,3.2397599579122145e-05,3.2397599579237145e-05,3.2397599579277125e-05,8.429519,8.008291,8.090116,7.931508000000001,1.0,1.0,1.0,1.0,1.00003239907,1.00003239907,1.00003239907,1.00003239907
new_halley,5.627358153927839,5.627358153927839,5.627358153927839,5.627358153927839,3.239854649906803e-05,3.239854649906803e-05,3.239854649906803e-05,3.239854649906803e-05,3.239759957913845e-05,3.239759957913845e-05,3.239759957913845e-05,3.239759957913845e-05,8.478251,7.7620130000000005,7.711858,8.051539,1.0,1.0,1.0,1.0,1.00003239907,1.00003239907,1.00003239907,1.00003239907
halleyMomentum,3.943922498055857,3.943922498055857,3.943922498055857,3.943922498055857,0.0007309382569543062,0.0007309382569543062,0.0007309382569543062,0.0007309382569543062,0.0007301205492767638,0.0007301205492767638,0.0007301205492767638,0.0007301205492767638,25.105053,25.815903000000002,23.850957,25.563186,1.0,1.0,1.0,1.0,1.00073120546,1.00073120546,1.00073120546,1.00073120546
